Models with a negative R2 score for LRELU, RANDN scheme, on the 1D dataset:
Learning rate: 0.1, Lambda: 0.1, R2 score: -73603349218.01057
Learning rate: 0.1, Lambda: 1.0, R2 score: -2.3821990488771044e+21
Learning rate: 0.1, Lambda: 0.0, R2 score: -0.09282877186748006
Learning rate: 1.0, Lambda: 1e-05, R2 score: -0.3749030348917157
Learning rate: 1.0, Lambda: 0.0001, R2 score: -0.20928980829500077
Learning rate: 1.0, Lambda: 0.001, R2 score: -0.19170600706793173
Learning rate: 1.0, Lambda: 0.01, R2 score: -0.008540385017788976
Learning rate: 1.0, Lambda: 0.1, R2 score: -0.19135953021909247
Learning rate: 1.0, Lambda: 1.0, R2 score: -4986410586.024235
Learning rate: 1.0, Lambda: 0.0, R2 score: -0.13619989425669443
ADAM:
Learning rate: 1e-05, Lambda: 1e-05, R2 score: -6.891937847217964
Learning rate: 1e-05, Lambda: 0.0001, R2 score: -6.891937851273749
Learning rate: 1e-05, Lambda: 0.001, R2 score: -6.891937464714934
Learning rate: 1e-05, Lambda: 0.01, R2 score: -6.891927498292456
Learning rate: 1e-05, Lambda: 0.1, R2 score: -6.891901121715751
Learning rate: 1e-05, Lambda: 1.0, R2 score: -6.890630303949213
Learning rate: 1e-05, Lambda: 0.0, R2 score: -6.891937845997113
Learning rate: 0.0001, Lambda: 1e-05, R2 score: -5.403088631984113
Learning rate: 0.0001, Lambda: 0.0001, R2 score: -5.403089292306307
Learning rate: 0.0001, Lambda: 0.001, R2 score: -5.403098286759591
Learning rate: 0.0001, Lambda: 0.01, R2 score: -5.403039700782243
Learning rate: 0.0001, Lambda: 0.1, R2 score: -5.403212395608429
Learning rate: 0.0001, Lambda: 1.0, R2 score: -5.387903264549856
Learning rate: 0.0001, Lambda: 0.0, R2 score: -5.403088552146639
Learning rate: 0.1, Lambda: 1.0, R2 score: -1.1322318651934125
Learning rate: 1.0, Lambda: 1.0, R2 score: -1.1352451011082572
